VX,VY, tiempo
1.044329999999999981e-01,-4.493690000000000184e-01,2.632499999999999929e+01
1.039510000000000017e-01,-4.494839999999999947e-01,2.642500000000000071e+01
1.032740000000000047e-01,-4.496450000000000169e-01,2.652499999999999858e+01
1.028519999999999990e-01,-4.497430000000000039e-01,2.662500000000000000e+01
1.022440000000000015e-01,-4.498869999999999814e-01,2.672500000000000142e+01
1.018870000000000053e-01,-4.499699999999999811e-01,2.682499999999999929e+01
1.014010000000000050e-01,-4.500859999999999861e-01,2.692599999999999838e+01
1.011080000000000034e-01,-4.501560000000000006e-01,2.702599999999999980e+01
1.007190000000000030e-01,-4.502519999999999856e-01,2.712600000000000122e+01
1.004919999999999980e-01,-4.503059999999999841e-01,2.722599999999999909e+01
1.001999999999999974e-01,-4.503759999999999986e-01,2.732600000000000051e+01
1.000370000000000009e-01,-4.504150000000000098e-01,2.742599999999999838e+01
9.983999999999999819e-02,-4.504600000000000271e-01,2.752599999999999980e+01
9.974099999999999633e-02,-4.504859999999999975e-01,2.762699999999999889e+01
9.963900000000000534e-02,-4.505120000000000235e-01,2.772700000000000031e+01
9.960099999999999509e-02,-4.505210000000000048e-01,2.782700000000000173e+01
9.958999999999999797e-02,-4.505290000000000128e-01,2.792699999999999960e+01
9.961100000000000509e-02,-4.505250000000000088e-01,2.802700000000000102e+01
9.969000000000000083e-02,-4.505109999999999948e-01,2.812699999999999889e+01
9.976899999999999658e-02,-4.504969999999999808e-01,2.822800000000000153e+01
9.992600000000000093e-02,-4.504610000000000003e-01,2.832799999999999940e+01
1.000569999999999932e-01,-4.504340000000000011e-01,2.842800000000000082e+01
1.002890000000000031e-01,-4.503809999999999758e-01,2.852799999999999869e+01
1.004670000000000007e-01,-4.503429999999999933e-01,2.862800000000000011e+01
1.007659999999999945e-01,-4.502749999999999808e-01,2.872800000000000153e+01
1.009869999999999934e-01,-4.502240000000000131e-01,2.882900000000000063e+01
1.013479999999999936e-01,-4.501450000000000173e-01,2.892899999999999849e+01
1.016070000000000029e-01,-4.500870000000000148e-01,2.902899999999999991e+01
1.020210000000000006e-01,-4.499929999999999763e-01,2.912900000000000134e+01
1.023130000000000012e-01,-4.499279999999999946e-01,2.922899999999999920e+01
1.027909999999999935e-01,-4.498179999999999956e-01,2.932900000000000063e+01
1.031109999999999943e-01,-4.497430000000000039e-01,2.942999999999999972e+01
1.036080000000000056e-01,-4.496310000000000029e-01,2.953000000000000114e+01
1.039489999999999997e-01,-4.495500000000000052e-01,2.962999999999999901e+01
1.044729999999999964e-01,-4.494270000000000209e-01,2.973000000000000043e+01
1.048309999999999936e-01,-4.493429999999999924e-01,2.982999999999999829e+01
1.053759999999999974e-01,-4.492160000000000042e-01,2.992999999999999972e+01
1.057440000000000047e-01,-4.491280000000000272e-01,3.003099999999999881e+01
1.063010000000000066e-01,-4.489949999999999775e-01,3.016300000000000026e+01
1.066750000000000059e-01,-4.489049999999999985e-01,3.023100000000000165e+01
1.072359999999999980e-01,-4.487689999999999735e-01,3.033099999999999952e+01
1.076339999999999936e-01,-4.486720000000000153e-01,3.043100000000000094e+01
1.081929999999999975e-01,-4.485410000000000230e-01,3.053099999999999881e+01
1.085630000000000067e-01,-4.484529999999999905e-01,3.063200000000000145e+01
1.091109999999999997e-01,-4.483179999999999943e-01,3.073199999999999932e+01
1.094709999999999989e-01,-4.482280000000000153e-01,3.083200000000000074e+01
1.098269999999999941e-01,-4.481399999999999828e-01,3.093199999999999861e+01
1.103500000000000036e-01,-4.480100000000000193e-01,3.103200000000000003e+01
1.106919999999999987e-01,-4.479279999999999928e-01,3.113200000000000145e+01
1.111909999999999982e-01,-4.478059999999999818e-01,3.123300000000000054e+01
1.115130000000000010e-01,-4.477240000000000109e-01,3.133299999999999841e+01
1.119819999999999982e-01,-4.476080000000000059e-01,3.143299999999999983e+01
1.122839999999999949e-01,-4.475339999999999874e-01,3.153300000000000125e+01
1.127179999999999988e-01,-4.474239999999999884e-01,3.163299999999999912e+01
1.129949999999999982e-01,-4.473550000000000026e-01,3.173300000000000054e+01
1.134060000000000068e-01,-4.472499999999999809e-01,3.183399999999999963e+01
1.136559999999999931e-01,-4.471879999999999744e-01,3.193400000000000105e+01
1.140100000000000002e-01,-4.470970000000000222e-01,3.203399999999999892e+01
1.142309999999999992e-01,-4.470430000000000237e-01,3.213400000000000034e+01
1.145420000000000049e-01,-4.469679999999999764e-01,3.223400000000000176e+01
1.147340000000000027e-01,-4.469219999999999859e-01,3.233400000000000318e+01
1.149980000000000030e-01,-4.468550000000000022e-01,3.243399999999999750e+01
1.151589999999999975e-01,-4.468150000000000177e-01,3.253499999999999659e+01
1.153760000000000063e-01,-4.467590000000000172e-01,3.263499999999999801e+01
1.155049999999999966e-01,-4.467260000000000120e-01,3.273499999999999943e+01
1.156760000000000010e-01,-4.466849999999999987e-01,3.283500000000000085e+01
1.157790000000000069e-01,-4.466570000000000262e-01,3.293500000000000227e+01
1.159020000000000050e-01,-4.466300000000000270e-01,3.303499999999999659e+01
1.159690000000000026e-01,-4.466149999999999842e-01,3.313600000000000279e+01
1.160459999999999964e-01,-4.465979999999999950e-01,3.323599999999999710e+01
1.160810000000000036e-01,-4.465870000000000117e-01,3.333599999999999852e+01
1.161120000000000069e-01,-4.465790000000000037e-01,3.343599999999999994e+01
1.161179999999999990e-01,-4.465759999999999730e-01,3.353600000000000136e+01
1.161060000000000009e-01,-4.465779999999999750e-01,3.363700000000000045e+01
1.160849999999999937e-01,-4.465830000000000077e-01,3.373700000000000188e+01
1.160319999999999963e-01,-4.465950000000000197e-01,3.383700000000000330e+01
1.159810000000000008e-01,-4.466069999999999762e-01,3.393699999999999761e+01
1.158900000000000069e-01,-4.466289999999999982e-01,3.403699999999999903e+01
1.158170000000000033e-01,-4.466470000000000162e-01,3.413799999999999812e+01
1.156910000000000022e-01,-4.466800000000000215e-01,3.423799999999999955e+01
1.155970000000000053e-01,-4.467059999999999920e-01,3.433800000000000097e+01
1.154400000000000009e-01,-4.467470000000000052e-01,3.443800000000000239e+01
1.153259999999999980e-01,-4.467780000000000085e-01,3.453799999999999670e+01
1.151409999999999934e-01,-4.468250000000000277e-01,3.463799999999999812e+01
1.150090000000000001e-01,-4.468579999999999774e-01,3.473899999999999721e+01
1.147999999999999993e-01,-4.469099999999999739e-01,3.483899999999999864e+01
1.146540000000000059e-01,-4.469489999999999852e-01,3.493900000000000006e+01
1.144150000000000028e-01,-4.470140000000000224e-01,3.503900000000000148e+01
1.142569999999999975e-01,-4.470569999999999822e-01,3.517099999999999937e+01
1.140110000000000012e-01,-4.471189999999999887e-01,3.523899999999999721e+01
1.138419999999999987e-01,-4.471600000000000019e-01,3.534000000000000341e+01
1.135840000000000044e-01,-4.472269999999999857e-01,3.543999999999999773e+01
1.134079999999999949e-01,-4.472709999999999742e-01,3.553999999999999915e+01
1.131420000000000065e-01,-4.473380000000000134e-01,3.564000000000000057e+01
1.129620000000000068e-01,-4.473820000000000019e-01,3.574000000000000199e+01
1.126899999999999985e-01,-4.474500000000000144e-01,3.584000000000000341e+01
1.125089999999999979e-01,-4.474960000000000049e-01,3.594100000000000250e+01
1.122370000000000034e-01,-4.475640000000000174e-01,3.604099999999999682e+01
1.120560000000000028e-01,-4.476089999999999791e-01,3.614099999999999824e+01
1.117760000000000004e-01,-4.476800000000000224e-01,3.624099999999999966e+01
1.115980000000000028e-01,-4.477229999999999821e-01,3.634100000000000108e+01
1.113340000000000024e-01,-4.477860000000000174e-01,3.644100000000000250e+01
1.111609999999999959e-01,-4.478300000000000058e-01,3.654200000000000159e+01
1.109070000000000056e-01,-4.478940000000000143e-01,3.664200000000000301e+01
1.107419999999999932e-01,-4.479339999999999988e-01,3.674199999999999733e+01
1.104990000000000000e-01,-4.479929999999999746e-01,3.684199999999999875e+01
1.103429999999999966e-01,-4.480330000000000146e-01,3.694200000000000017e+01
1.101160000000000055e-01,-4.480910000000000171e-01,3.704299999999999926e+01
1.099689999999999973e-01,-4.481260000000000243e-01,3.714300000000000068e+01
1.097579999999999945e-01,-4.481780000000000208e-01,3.724300000000000210e+01
1.096150000000000041e-01,-4.482119999999999993e-01,3.734300000000000352e+01
1.094230000000000064e-01,-4.482610000000000205e-01,3.744299999999999784e+01
1.093019999999999964e-01,-4.482900000000000218e-01,3.754399999999999693e+01
1.091290000000000038e-01,-4.483289999999999775e-01,3.764399999999999835e+01
1.090210000000000068e-01,-4.483539999999999748e-01,3.774399999999999977e+01
1.088699999999999946e-01,-4.483889999999999820e-01,3.784400000000000119e+01
1.087769999999999987e-01,-4.484110000000000040e-01,3.794400000000000261e+01
1.086479999999999946e-01,-4.484409999999999785e-01,3.804500000000000171e+01
1.085710000000000008e-01,-4.484630000000000005e-01,3.814500000000000313e+01
1.084650000000000059e-01,-4.484879999999999978e-01,3.824499999999999744e+01
1.084029999999999994e-01,-4.485060000000000158e-01,3.834499999999999886e+01
1.083199999999999996e-01,-4.485259999999999803e-01,3.844500000000000028e+01
1.082700000000000051e-01,-4.485390000000000210e-01,3.854500000000000171e+01
1.082300000000000068e-01,-4.485500000000000043e-01,3.864500000000000313e+01
1.081799999999999984e-01,-4.485629999999999895e-01,3.874600000000000222e+01
1.081540000000000001e-01,-4.485700000000000243e-01,3.884599999999999653e+01
1.081259999999999999e-01,-4.485759999999999748e-01,3.894599999999999795e+01
1.081140000000000018e-01,-4.485790000000000055e-01,3.904599999999999937e+01
1.081079999999999958e-01,-4.485819999999999808e-01,3.914699999999999847e+01
1.081109999999999988e-01,-4.485810000000000075e-01,3.924699999999999989e+01
1.081249999999999989e-01,-4.485759999999999748e-01,3.934700000000000131e+01
1.081400000000000000e-01,-4.485709999999999975e-01,3.944700000000000273e+01
1.081749999999999934e-01,-4.485669999999999935e-01,3.954699999999999704e+01
1.082049999999999956e-01,-4.485620000000000163e-01,3.964699999999999847e+01
1.082560000000000050e-01,-4.485469999999999735e-01,3.974799999999999756e+01
1.082960000000000034e-01,-4.485359999999999903e-01,3.984799999999999898e+01
1.083650000000000030e-01,-4.485210000000000030e-01,3.994800000000000040e+01
1.084149999999999975e-01,-4.485080000000000178e-01,4.004800000000000182e+01
1.084969999999999962e-01,-4.484879999999999978e-01,4.017999999999999972e+01
1.085559999999999997e-01,-4.484730000000000105e-01,4.024799999999999756e+01
1.086519999999999986e-01,-4.484500000000000153e-01,4.034899999999999665e+01
1.087199999999999972e-01,-4.484349999999999725e-01,4.044899999999999807e+01
1.088260000000000061e-01,-4.484079999999999733e-01,4.054899999999999949e+01
1.088999999999999968e-01,-4.483900000000000108e-01,4.064900000000000091e+01
1.090150000000000008e-01,-4.483630000000000115e-01,4.074900000000000233e+01
1.091000000000000025e-01,-4.483420000000000183e-01,4.084899999999999665e+01
1.092219999999999996e-01,-4.483099999999999863e-01,4.095000000000000284e+01
