X,Y, tiempo
-6.789972999999999814e+00,1.680876000000000037e+00,1.740899999999999892e+01
-6.826470999999999734e+00,1.686280000000000001e+00,1.750900000000000034e+01
-6.883479000000000347e+00,1.694874999999999909e+00,1.760900000000000176e+01
-6.919947999999999766e+00,1.700479999999999992e+00,1.770899999999999963e+01
-6.974625999999999770e+00,1.709052000000000016e+00,1.780999999999999872e+01
-7.011059000000000374e+00,1.714884000000000075e+00,1.791000000000000014e+01
-7.065676999999999985e+00,1.723818000000000072e+00,1.801000000000000156e+01
-7.102066999999999908e+00,1.729905000000000026e+00,1.810999999999999943e+01
-7.156616999999999784e+00,1.739238000000000062e+00,1.821000000000000085e+01
-7.192957999999999963e+00,1.745600999999999958e+00,1.830999999999999872e+01
-7.247429999999999595e+00,1.755363999999999924e+00,1.841100000000000136e+01
-7.283716000000000079e+00,1.762021000000000059e+00,1.851099999999999923e+01
-7.338103000000000264e+00,1.772235999999999922e+00,1.861100000000000065e+01
-7.374329999999999607e+00,1.779199999999999893e+00,1.871099999999999852e+01
-7.430884999999999962e+00,1.790334000000000092e+00,1.881099999999999994e+01
-7.467045999999999850e+00,1.797622000000000053e+00,1.891100000000000136e+01
-7.521238000000000312e+00,1.808794000000000013e+00,1.901200000000000045e+01
-7.557331999999999717e+00,1.816400999999999932e+00,1.911199999999999832e+01
-7.611420999999999992e+00,1.828051000000000093e+00,1.921199999999999974e+01
-7.647445000000000270e+00,1.835976999999999970e+00,1.931200000000000117e+01
-7.701426999999999801e+00,1.848101999999999911e+00,1.941199999999999903e+01
-7.737378999999999785e+00,1.856341999999999937e+00,1.951300000000000168e+01
-7.791253000000000206e+00,1.868932999999999955e+00,1.961299999999999955e+01
-7.827132999999999896e+00,1.877477999999999980e+00,1.971300000000000097e+01
-7.883138999999999896e+00,1.891067000000000053e+00,1.981299999999999883e+01
-7.918946000000000041e+00,1.899912999999999963e+00,1.991300000000000026e+01
-7.972604999999999720e+00,1.913392999999999899e+00,2.001399999999999935e+01
-8.008342999999999989e+00,1.922517000000000031e+00,2.014600000000000080e+01
-8.061899999999999622e+00,1.936401999999999957e+00,2.021399999999999864e+01
-8.097571999999999548e+00,1.945786000000000016e+00,2.031400000000000006e+01
-8.151032000000000721e+00,1.960045999999999955e+00,2.041400000000000148e+01
-8.186640999999999835e+00,1.969670000000000032e+00,2.051399999999999935e+01
-8.240011000000000863e+00,1.984274000000000093e+00,2.061400000000000077e+01
-8.275562000000000751e+00,1.994116000000000000e+00,2.071499999999999986e+01
-8.328849999999999199e+00,2.009028999999999954e+00,2.081500000000000128e+01
-8.364349000000000700e+00,2.019064999999999888e+00,2.091499999999999915e+01
-8.419779000000000124e+00,2.034886999999999890e+00,2.101500000000000057e+01
-8.455232000000000525e+00,2.045096000000000025e+00,2.111499999999999844e+01
-8.508380999999999972e+00,2.060522000000000187e+00,2.121600000000000108e+01
-8.543794999999999362e+00,2.070873999999999882e+00,2.131599999999999895e+01
-8.596890000000000143e+00,2.086494000000000071e+00,2.141600000000000037e+01
-8.632272000000000389e+00,2.096963000000000132e+00,2.151599999999999824e+01
-8.685325999999999880e+00,2.112737999999999783e+00,2.161599999999999966e+01
-8.720684000000000324e+00,2.123295999999999850e+00,2.171600000000000108e+01
-8.773706999999999923e+00,2.139187000000000172e+00,2.181700000000000017e+01
-8.809048000000000656e+00,2.149808999999999859e+00,2.191700000000000159e+01
-8.862050999999999235e+00,2.165775000000000006e+00,2.201699999999999946e+01
-8.899590999999999141e+00,2.177102000000000093e+00,2.211700000000000088e+01
-8.952584999999999127e+00,2.193108000000000057e+00,2.221699999999999875e+01
-8.987913999999999959e+00,2.203781000000000212e+00,2.231700000000000017e+01
-9.040910999999999476e+00,2.219787999999999872e+00,2.241799999999999926e+01
-9.076244000000000867e+00,2.230449999999999822e+00,2.251800000000000068e+01
-9.129253000000000284e+00,2.246423000000000059e+00,2.261799999999999855e+01
-9.164597999999999800e+00,2.257051000000000140e+00,2.271799999999999997e+01
-9.199949000000000154e+00,2.267660999999999927e+00,2.281800000000000139e+01
-9.252990000000000492e+00,2.283532000000000117e+00,2.291799999999999926e+01
-9.288360000000000838e+00,2.294078999999999979e+00,2.301899999999999835e+01
-9.341433999999999571e+00,2.309842000000000173e+00,2.311899999999999977e+01
-9.379042000000000101e+00,2.320962000000000192e+00,2.321900000000000119e+01
-9.432157000000000124e+00,2.336587000000000192e+00,2.331899999999999906e+01
-9.467582000000000164e+00,2.346954000000000207e+00,2.341900000000000048e+01
-9.520742999999999512e+00,2.362422000000000022e+00,2.351899999999999835e+01
-9.556200999999999723e+00,2.372675999999999785e+00,2.362000000000000099e+01
-9.609412999999999982e+00,2.387966000000000033e+00,2.371999999999999886e+01
-9.644904999999999617e+00,2.398095000000000088e+00,2.382000000000000028e+01
-9.698171999999999571e+00,2.413190000000000168e+00,2.392000000000000171e+01
-9.733703000000000216e+00,2.423185000000000144e+00,2.401999999999999957e+01
-9.787027999999999395e+00,2.438072000000000017e+00,2.412099999999999866e+01
-9.822597000000000023e+00,2.447925000000000129e+00,2.422100000000000009e+01
-9.878206999999999738e+00,2.463201000000000196e+00,2.432100000000000151e+01
-9.913817999999999131e+00,2.472901999999999934e+00,2.442099999999999937e+01
-9.967264000000000124e+00,2.487338999999999967e+00,2.452100000000000080e+01
-1.000291600000000081e+01,2.496887000000000079e+00,2.462099999999999866e+01
-1.005642300000000056e+01,2.511095000000000077e+00,2.472100000000000009e+01
-1.009211499999999972e+01,2.520490999999999815e+00,2.482199999999999918e+01
-1.014568200000000076e+01,2.534469000000000083e+00,2.492200000000000060e+01
-1.018141299999999916e+01,2.543711000000000055e+00,2.502199999999999847e+01
-1.023503799999999941e+01,2.557462000000000124e+00,2.512399999999999878e+01
-1.027080699999999958e+01,2.566555000000000142e+00,2.522299999999999898e+01
